,avg_reward,best_reward,episode,q_vals,avg_steps,best_steps
56,-1.0,-1.0,2800,-0.775897204875946,11.3,12
57,-1.0,-1.0,2850,-0.7852592468261719,17.1,23
58,-1.0,-1.0,2900,-0.7631481885910034,13.6,27
59,-1.0,-1.0,2950,-0.8177745938301086,11.9,21
60,-1.0,-1.0,3000,-0.7781046032905579,12.6,21
61,-0.9,0.0,3050,-0.747086226940155,23.1,30
62,-0.9,0.0,3100,-0.7855767011642456,14.0,29
63,-1.0,-1.0,3150,-0.7907934784889221,7.1,17
64,-1.0,-1.0,3200,-0.7919275760650635,18.7,23
65,-1.0,-1.0,3250,-0.8180904984474182,19.3,24
66,-1.0,-1.0,3300,-0.7530467510223389,21.0,25
67,-1.0,-1.0,3350,-0.7752007246017456,15.9,26
68,-1.0,-1.0,3400,-0.8089540004730225,13.9,23
69,-1.0,-1.0,3450,-0.786159873008728,10.6,21
70,-1.0,-1.0,3500,-0.7797126770019531,6.3,7
71,-1.0,-1.0,3550,-0.7808436751365662,21.8,25
72,-1.0,-1.0,3600,-0.778253436088562,17.5,26
73,-1.0,-1.0,3650,-0.7794235944747925,8.1,21
74,-1.0,-1.0,3700,-0.801844596862793,18.5,25
75,-1.0,-1.0,3750,-0.7685078978538513,6.6,7
76,-1.0,-1.0,3800,-0.8079367876052856,16.4,24
77,-1.0,-1.0,3850,-0.7875418663024902,6.0,6
78,-1.0,-1.0,3900,-0.8174723982810974,7.2,10
79,-1.0,-1.0,3950,-0.7916244268417358,10.2,22
80,-1.0,-1.0,4000,-0.8187283873558044,6.0,6
81,-1.0,-1.0,4050,-0.851705014705658,6.2,7
82,-1.0,-1.0,4100,-0.8394039273262024,10.0,24
83,-1.0,-1.0,4150,-0.8048088550567627,6.0,6
84,-1.0,-1.0,4200,-0.8214516043663025,6.0,6
85,-1.0,-1.0,4250,-0.840227484703064,6.0,6
86,-1.0,-1.0,4300,-0.8675637245178223,10.7,20
87,-1.0,-1.0,4350,-0.8648656606674194,8.9,23
88,-1.0,-1.0,4400,-0.8221554160118103,6.8,10
89,-1.0,-1.0,4450,-0.7752326726913452,14.0,22
90,-1.0,-1.0,4500,-0.8057600855827332,8.9,17
91,-1.0,-1.0,4550,-0.8222196102142334,16.8,24
92,-0.9,0.0,4600,-0.7647553086280823,21.0,29
93,-1.0,-1.0,4650,-0.8398094773292542,7.5,21
94,-1.0,-1.0,4700,-0.8241405487060547,12.0,21
95,-1.0,-1.0,4750,-0.8257184028625488,15.1,20
96,-0.6,1.0,4800,-0.8132864236831665,12.8,29
97,-1.0,-1.0,4850,-0.8060345649719238,7.6,17
98,-1.0,-1.0,4900,-0.7943475246429443,9.4,14
99,-1.0,-1.0,4950,-0.815612256526947,14.8,24
100,-1.0,-1.0,5000,-0.7919924259185791,12.0,21
101,-1.0,-1.0,5050,-0.8397208452224731,6.0,6
102,-0.6,1.0,5100,-0.8229698538780212,15.3,28
